,Height,Label,Score,Width,filenames,x,y
106,1069,pinkCandle,0.49523,672,Person23_72,2111,1744
107,2228,yellowBag,0.47793,2326,Person23_72,417,11
108,807,pinkCandle,0.32664,484,Person23_68,1358,1019
109,2440,sign,0.25828,753,Person23_68,3213,11
110,2268,yellowBag,0.41700000000000004,1909,Person23_68,14,696
111,1240,cloudSign,0.3841,982,Person23_45,2218,1412
112,686,eyeball,0.30563,713,Person23_45,2648,1714
113,1160,pinkCandle,0.32506,363,Person23_45,1990,1875
114,1956,sign,0.36988000000000004,901,Person23_45,1707,1079
115,515,lavenderDie,0.29308,431,Person23_45,2487,1573
116,1694,yellowBag,0.45356,2487,Person23_45,632,11
117,1049,eyeball,0.29825,807,Person23_79,1734,1523
118,1744,pumpkinNotes,0.36438000000000004,1385,Person23_79,914,1190
119,1593,sign,0.29988000000000004,1358,Person23_79,1197,11
120,1099,hairClip,0.25984,1170,Person23_79,1842,1523
121,2067,cupcakePaper,0.49567,1788,Person23_80,1264,968
122,918,eyeball,0.3645,807,Person23_80,1183,1825
123,2722,paperPlate,0.5594100000000001,2715,Person23_80,1076,313
124,1976,pumpkinNotes,0.26878,2420,Person23_80,1224,847
125,898,blueSunglasses,0.37068,1358,Person23_80,1775,1180
126,918,eyeball,0.47301000000000004,928,Person23_9,1129,958
127,504,blueSunglasses,0.3448,847,Person23_9,1452,1150
128,1089,hairClip,0.35494000000000003,995,Person23_9,1371,877
129,494,lavenderDie,0.7921199999999999,336,Person23_9,1667,1160
130,2117,yellowBag,0.5170100000000001,2702,Person23_9,14,918
131,1230,birdCall,0.3683,1654,Person23_51,1613,11
132,1392,cupcakePaper,0.31314000000000003,1600,Person23_51,14,11
133,615,eyeball,0.39209,1076,Person23_51,1318,242
134,333,blueSunglasses,0.25001999999999996,1304,Person23_51,1775,1442
135,1432,cloudSign,0.37859,1371,Person23_81,323,31
136,1623,cupcakePaper,0.37059000000000003,1801,Person23_81,672,1019
137,1260,pinkCandle,0.25468,363,Person23_81,1412,1200
138,1865,sign,0.37338000000000005,699,Person23_81,659,11
139,696,eyeball,0.55885,1049,Person23_60,2232,1281
140,1865,sign,0.41193,1035,Person23_60,1062,11
141,525,lavenderDie,0.6454,404,Person23_60,2514,1351
142,1230,birdCall,0.29357,1197,Person23_15,713,121
143,1573,cloudSign,0.35666,888,Person23_15,1143,152
144,1815,cupcakePaper,0.26064,2003,Person23_15,578,1220
145,504,eyeball,0.70124,820,Person23_15,874,525
146,958,pinkCandle,0.28625,296,Person23_15,1452,696
147,373,blueSunglasses,0.33831999999999995,1116,Person23_15,740,787
148,1089,hairClip,0.40193,1089,Person23_15,1022,434
149,1996,yellowBag,0.45924,2662,Person23_15,14,1039
150,1916,cupcakePaper,0.25351,1627,Person23_63,471,11
151,2148,yellowBag,0.46603999999999995,2312,Person23_63,1734,888
152,464,eyeball,0.39311999999999997,888,Person23_49,2594,2037
153,222,blueSunglasses,0.31525,767,Person23_49,2608,2137
154,1049,hairClip,0.3138,968,Person23_49,2554,1754
155,625,lavenderDie,0.61375,444,Person23_49,2796,1936
156,1664,yellowBag,0.43246,2447,Person23_49,14,11
157,1644,birdCall,0.27541,1573,Person23_58,2473,1220
158,958,eyeball,0.32868,1519,Person23_58,229,1371
159,2067,pumpkinNotes,0.5039399999999999,2151,Person23_58,14,968
160,1492,redWhistle,0.29413,1412,Person23_58,2568,1281
161,1704,sign,0.25181,968,Person23_58,1667,11
162,515,blueSunglasses,0.25648000000000004,1479,Person23_58,269,1996
163,504,lavenderDie,0.44966999999999996,444,Person23_58,3051,1563
164,2349,sign,0.38473,914,Person23_39,2258,686
165,565,eyeball,0.28722,1143,Person23_30,2460,1119
166,2490,sign,0.33623000000000003,1828,Person23_30,2111,545
167,2258,yellowBag,0.28752,2554,Person23_30,27,696
168,2672,canadaPencil,0.25374,1573,Person23_26,1371,242
169,1200,metalKey,0.29155,1506,Person23_26,1129,797
170,978,pinkCandle,0.45221000000000006,283,Person23_26,2003,1341
171,1684,sign,0.45535,780,Person23_26,1492,11
172,2208,yellowBag,0.41038,2084,Person23_26,1963,283
173,1845,cupcakePaper,0.26957,1775,Person23_62,1560,273
174,2591,paperPlate,0.27054,3213,Person23_62,269,444
175,1946,sign,0.34239,834,Person23_62,874,11
176,1644,birdCall,0.55998,1734,Person23_17,2312,1392
177,1200,redWhistle,0.32696,1344,Person23_17,1452,152
178,676,eyeball,0.34707,780,Person23_56,3213,1936
179,817,pinkCandle,0.37472,310,Person23_50,2285,2218
180,1341,sign,0.58929,1439,Person23_50,1734,1694
181,484,lavenderDie,0.57795,363,Person23_50,1398,928
182,756,eyeball,0.38554,753,Person23_10,2043,827
183,716,blueSunglasses,0.39404,1425,Person23_10,1452,827
184,1835,birdCall,0.4602,1506,Person23_75,14,898
185,1129,pinkCandle,0.3898,377,Person23_75,1694,11
186,2047,sign,0.68579,1210,Person23_75,1277,11
187,2158,silverStraw,0.38768,3011,Person23_78,1035,736
188,424,lavenderDie,0.30437,363,Person23_78,1103,1835
189,1724,birdCall,0.49355,1600,Person23_22,202,958
190,726,eyeball,0.36530999999999997,1022,Person23_22,498,1492
191,998,pinkCandle,0.29197,404,Person23_22,242,263
192,1775,sign,0.3832,1264,Person23_22,2111,11
193,1250,hairClip,0.25251,1103,Person23_22,1896,1008
194,444,lavenderDie,0.35135,350,Person23_22,2568,1825
195,2168,yellowBag,0.39377,2729,Person23_22,1089,11
196,1331,birdCall,0.46686000000000005,1439,Person23_16,1143,1583
197,636,eyeball,0.31494,1452,Person23_16,1143,1946
198,1059,hairClip,0.41248,995,Person23_16,1116,1754
199,484,lavenderDie,0.39254,404,Person23_16,1371,1583
200,2329,yellowBag,0.5233399999999999,2393,Person23_16,1654,666
201,525,eyeball,0.41217,699,Person23_27,1506,726
202,515,lavenderDie,0.51266,336,Person23_27,1694,716
203,1966,yellowBag,0.29289,2769,Person23_27,1062,827
204,1724,birdCall,0.27523000000000003,2057,Person23_12,565,303
205,484,eyeball,0.42201000000000005,726,Person23_12,1224,1160
206,2410,sign,0.32359,1049,Person23_12,498,625
207,545,blueSunglasses,0.33347,1277,Person23_12,1237,1129
208,353,lavenderDie,0.5221600000000001,323,Person23_12,1371,1210
209,1996,yellowBag,0.5259199999999999,1882,Person23_12,2164,1039
210,696,eyeball,0.25332,753,Person23_53,1183,2127
211,2389,sign,0.28844000000000003,955,Person23_53,3092,615
212,515,lavenderDie,0.37161,377,Person23_53,1103,2208
213,1392,yellowBag,0.25056,1990,Person23_53,1156,1644
214,1523,birdCall,0.31682,1412,Person23_24,2635,1271
215,1603,cloudSign,0.38432,1586,Person23_24,1949,807
216,938,pinkCandle,0.32716999999999996,269,Person23_24,3468,11
217,2006,pumpkinNotes,0.43651,2245,Person23_24,444,11
218,1966,sign,0.32589,646,Person23_24,404,1069
219,636,blueSunglasses,0.40543,1506,Person23_24,1976,1291
220,444,eyeball,0.2676,995,Person23_20,1358,1633
221,1039,metalKey,0.53984,1519,Person23_20,1976,666
222,827,redWhistle,0.34292,968,Person23_20,2796,756
223,515,lavenderDie,0.39361999999999997,350,Person23_20,3119,908
224,2037,yellowBag,0.33266,2084,Person23_20,1963,595
225,1593,canadaPencil,0.26366,1761,Person23_18,404,11
226,1069,cloudSign,0.27776,847,Person23_18,2016,625
227,565,eyeball,0.29645,1156,Person23_18,1882,908
228,2490,paperPlate,0.50116,2581,Person23_18,14,11
229,404,blueSunglasses,0.30067,1237,Person23_18,1828,1200
230,2188,canadaPencil,0.2783,2742,Person23_42,14,847
231,1170,cloudSign,0.25221,1694,Person23_42,1008,11
232,1603,partyFavor,0.32156999999999997,1909,Person23_42,2070,11
233,2178,sign,0.49618999999999996,1089,Person23_42,1331,857
234,1724,stickerBox,0.31476,1412,Person23_42,1734,1311
235,1432,cloudSign,0.26111999999999996,1062,Person23_82,753,1523
236,1916,cupcakePaper,0.60502,1358,Person23_82,1479,656
237,1865,pumpkinNotes,0.29748,2339,Person23_82,995,877
238,1422,sign,0.51162,1761,Person23_82,135,11
239,494,lavenderDie,0.37923,444,Person23_52,1640,1140
240,1825,yellowBag,0.25526,1922,Person23_52,14,11
241,1512,birdCall,0.26957,2406,Person23_31,955,1502
242,918,cloudSign,0.34308,874,Person23_31,2299,696
243,988,eyeball,0.39765,901,Person23_31,1694,1573
244,1482,metalKey,0.45783,1250,Person23_31,2796,222
245,1089,pinkCandle,0.38806,578,Person23_31,2433,847
246,1250,redWhistle,0.84925,1654,Person23_31,1022,1633
247,2440,sign,0.33775,592,Person23_31,2433,373
248,817,blueSunglasses,0.36394,1304,Person23_31,2366,767
249,2198,yellowBag,0.37596999999999997,1694,Person23_31,2352,736
250,1502,cloudSign,0.29906,1237,Person23_64,363,11
251,807,eyeball,0.31237,1197,Person23_64,2406,777
252,1129,pinkCandle,0.25651,404,Person23_64,1103,847
253,2611,pumpkinNotes,0.68886,1869,Person23_64,1210,303
254,1896,sign,0.35108,928,Person23_64,3119,11
255,2158,yellowBalloon,0.5100600000000001,1600,Person23_64,1103,535
256,1654,yellowBag,0.45801000000000003,1936,Person23_64,1197,777
257,2037,birdCall,0.26114,2420,Person23_4,377,373
258,1492,cloudSign,0.28475,1183,Person23_4,1277,11
259,1109,pinkCandle,0.26821,377,Person23_4,1116,1926
260,2037,pumpkinNotes,0.26278,1949,Person23_4,874,797
261,2611,sign,0.47901000000000005,1304,Person23_4,2648,81
262,636,blueSunglasses,0.27793,1277,Person23_4,1506,646
263,797,eyeball,0.33361,1304,Person23_46,350,11
264,1563,metalKey,0.25397,1519,Person23_46,820,1472
265,2319,sign,0.41588,1008,Person23_46,2514,716
266,1644,birdCall,0.49356000000000005,2003,Person23_77,874,555
267,1180,cloudSign,0.28886999999999996,1022,Person23_77,1049,998
268,1492,cupcakePaper,0.33984000000000003,1224,Person23_77,1533,877
269,857,blueSunglasses,0.35129,1371,Person23_77,1197,1180
270,1845,canadaPencil,0.36411,1519,Person23_28,14,666
271,1341,cloudSign,0.26459,1250,Person23_28,1519,1160
272,474,eyeball,0.42768999999999996,740,Person23_28,1183,948
273,797,pinkCandle,0.32300999999999996,457,Person23_28,1062,11
274,2420,sign,0.42358999999999997,847,Person23_28,310,11
275,1815,silverStraw,0.27309,1761,Person23_28,14,686
276,2188,vancouverCards,0.30806999999999995,2688,Person23_28,14,726
277,1936,cupcakePaper,0.45596000000000003,1667,Person23_76,457,444
278,2762,paperPlate,0.42731,2473,Person23_76,41,11
279,1996,pumpkinNotes,0.33082,2043,Person23_76,1976,595
280,1775,sign,0.36317,955,Person23_76,242,1260
281,504,blueSunglasses,0.29612,968,Person23_76,1089,1785
282,1764,cupcakePaper,0.27326999999999996,1613,Person23_66,2433,948
283,1835,sign,0.45932,1815,Person23_66,95,1200
284,2289,yellowBag,0.51402,1963,Person23_66,2084,676
285,605,eyeball,0.35751,901,Person23_43,1990,1129
286,1946,noisemaker,0.30598000000000003,2836,Person23_43,1049,636
287,1140,pinkCandle,0.28965,390,Person23_43,1976,1039
288,1502,sign,0.29388000000000003,928,Person23_43,2850,11
289,394,lavenderDie,0.32603000000000004,283,Person23_43,3145,1835
290,2087,yellowBag,0.26159,2299,Person23_43,14,132
291,1573,birdCall,0.30273,1358,Person23_11,1775,1049
292,1472,canadaPencil,0.26813000000000003,2111,Person23_11,847,11
293,908,cloudSign,0.25895999999999997,1250,Person23_11,1519,11
294,726,eyeball,0.41551000000000005,780,Person23_11,1197,817
295,1230,metalKey,0.56339,1922,Person23_11,1197,11
296,1059,pinkCandle,0.2937,283,Person23_11,3455,1744
297,1875,pumpkinNotes,0.36593000000000003,2406,Person23_11,68,232
298,2420,sign,0.53768,726,Person23_11,2097,615
299,555,blueSunglasses,0.43044,1250,Person23_11,672,1119
300,1119,hairClip,0.46663999999999994,1049,Person23_11,1062,1916
301,1916,yellowBag,0.48673,1896,Person23_11,14,877
302,1361,canadaPencil,0.25551,1640,Person23_40,2406,898
303,615,eyeball,0.30376,1022,Person23_40,2245,1119
304,1956,noisemaker,0.26755999999999996,1801,Person23_40,2245,404
305,1240,redWhistle,0.25329,1089,Person23_40,2742,968
306,2309,sign,0.3273,955,Person23_40,2568,726
307,888,eyeball,0.39186,901,Person23_48,256,525
308,1875,sign,0.26385,1344,Person23_48,2352,11
309,1210,hairClip,0.4093,968,Person23_48,14,384
310,565,lavenderDie,0.575,431,Person23_48,202,686
311,1109,cloudSign,0.31681,1264,Person23_35,1237,11
312,636,eyeball,0.28283,1062,Person23_35,1318,636
313,998,pinkCandle,0.2686,404,Person23_35,1385,474
314,2551,sign,0.57919,1344,Person23_35,914,484
315,414,lavenderDie,0.28421,283,Person23_35,1990,968
316,1321,birdCall,0.49835,1546,Person23_13,1963,1714
317,1916,canadaPencil,0.26079,1922,Person23_13,1788,202
318,908,eyeball,0.55011,834,Person23_13,2030,2037
319,323,blueSunglasses,0.25038,1035,Person23_13,2191,2319
320,2369,yellowBag,0.39305,2554,Person23_13,14,11
321,1371,cloudSign,0.30251,1506,Person23_55,1116,1664
322,1442,cupcakePaper,0.31313,1707,Person23_55,457,464
323,767,eyeball,0.29015,820,Person23_55,14,11
324,1523,partyFavor,0.46381000000000006,1909,Person23_55,914,1512
325,2016,sign,0.33131,928,Person23_55,1412,1019
326,525,lavenderDie,0.58727,336,Person23_55,1398,918
327,1361,cloudSign,0.43151000000000006,1439,Person23_57,1156,1674
328,1281,cupcakePaper,0.27621999999999997,1398,Person23_57,2043,1754
329,1381,partyFavor,0.28867,1586,Person23_57,1654,1381
330,1492,pumpkinNotes,0.3387,2178,Person23_57,1654,1543
331,1210,redWhistle,0.30756999999999995,1519,Person23_57,807,1210
332,1674,sign,0.37827,1116,Person23_57,444,11
333,484,lavenderDie,0.39403,350,Person23_57,3387,726
334,696,eyeball,0.48156000000000004,1116,Person23_14,1573,1482
335,1039,pinkCandle,0.4572,404,Person23_14,1680,31
336,444,lavenderDie,0.36827,404,Person23_14,1963,1633
337,2248,yellowBag,0.48063,2554,Person23_14,14,787
338,1341,cloudSign,0.3182,1613,Person23_3,1331,948
339,1583,partyFavor,0.34326,1533,Person23_3,1680,414
340,968,pinkCandle,0.37517,404,Person23_3,2527,1129
341,2692,sign,0.57682,1264,Person23_3,2111,252
342,948,hairClip,0.42243,1116,Person23_3,2756,11
343,555,lavenderDie,0.54985,484,Person23_3,3038,31
344,1583,yellowBag,0.40473000000000003,2272,Person23_3,14,11
345,1029,cloudSign,0.32295,914,Person23_32,1385,1079
346,1079,metalKey,0.25556,1546,Person23_32,1103,857
347,938,pinkCandle,0.29138000000000003,377,Person23_32,1103,2097
348,1714,sign,0.5634,1331,Person23_32,54,11
349,353,blueSunglasses,0.34447,1385,Person23_32,1183,1432
350,1764,birdCall,0.32036,1385,Person23_74,2662,716
351,706,cloudSign,0.51903,861,Person23_74,1707,817
352,756,eyeball,0.34217,941,Person23_74,1963,384
353,1855,sign,0.3413,1318,Person23_74,2366,1180
354,293,blueSunglasses,0.32736,1103,Person23_74,1882,807
355,1109,hairClip,0.53245,874,Person23_74,2016,454
356,1563,yellowBag,0.38555,2406,Person23_74,14,11
357,2077,canadaPencil,0.30106,1734,Person23_1,1600,535
358,1402,cloudSign,0.26077,888,Person23_1,1734,263
359,867,eyeball,0.34147,847,Person23_1,1479,756
360,2137,noisemaker,0.42836,2527,Person23_1,1197,525
361,988,pinkCandle,0.36409,404,Person23_1,1963,1553
362,545,blueSunglasses,0.37062,1264,Person23_1,1533,918
363,454,lavenderDie,0.25384,390,Person23_1,2245,918
364,1140,yellowBag,0.25159000000000004,2729,Person23_1,1089,11
365,1381,birdCall,0.33100999999999997,1533,Person23_8,820,1129
366,666,eyeball,0.32294,1062,Person23_8,1049,1512
367,384,blueSunglasses,0.27294,901,Person23_8,1439,1633
368,535,lavenderDie,0.77004,390,Person23_8,1627,1543
369,1523,yellowBag,0.52553,2070,Person23_8,1976,11
370,545,eyeball,0.32597,807,Person23_44,2326,1371
371,908,pinkCandle,0.2797,538,Person23_44,3334,11
372,1946,sign,0.43055,1143,Person23_44,2904,11
373,333,lavenderDie,0.46584,256,Person23_44,3172,2077
374,2198,yellowBag,0.30878,2299,Person23_44,14,11
375,726,pinkCandle,0.26899999999999996,269,Person23_38,2594,2117
376,2531,pumpkinNotes,0.33279000000000003,2016,Person23_38,283,333
377,2389,sign,0.25561,578,Person23_38,135,11
378,1815,canadaPencil,0.48115,3428,Person23_34,175,676
379,1019,metalKey,0.44888999999999996,1680,Person23_34,1318,1109
380,2289,sign,0.3127,713,Person23_34,1237,746
381,1573,cupcakePaper,0.28062,1721,Person23_54,1008,1462
382,1795,sign,0.36233000000000004,1076,Person23_54,2971,11
383,454,lavenderDie,0.49207,404,Person23_54,1049,1603
384,1946,yellowBag,0.35753,2097,Person23_54,820,1069
385,1865,sign,0.34667,941,Person23_41,14,11
386,867,cloudSign,0.32024,874,Person23_29,552,1160
387,817,pinkCandle,0.325,323,Person23_29,834,2218
388,1613,pumpkinNotes,0.28820999999999997,2191,Person23_29,14,777
389,1341,redWhistle,0.88976,1654,Person23_29,162,726
390,2158,sign,0.4727,753,Person23_29,363,877
391,2067,yellowBag,0.4877,2702,Person23_29,1344,968
392,1150,birdCall,0.42531,1855,Person23_47,363,1885
393,2027,cupcakePaper,0.38676,1775,Person23_47,1277,817
394,706,eyeball,0.32854,861,Person23_47,1452,2329
395,1069,trophy,0.36637,1613,Person23_47,189,1966
396,1129,hairClip,0.33657,1412,Person23_47,296,1906
397,1724,yellowBag,0.36265,2702,Person23_47,1344,11
398,1593,pumpkinNotes,0.42686,1963,Person23_59,1492,11
399,2027,sign,0.48772,780,Person23_59,901,11
400,535,blueSunglasses,0.2795,1546,Person23_59,1949,1331
401,1170,birdCall,0.34433,1264,Person23_2,1533,1250
402,1412,cloudSign,0.39547,1640,Person23_2,471,1331
403,736,eyeball,0.33643,995,Person23_2,525,1684
404,1150,metalKey,0.26985,1546,Person23_2,1103,1472
405,767,pinkCandle,0.25985,283,Person23_2,1143,1664
406,454,blueSunglasses,0.45158000000000004,1398,Person23_2,1170,1613
407,515,lavenderDie,0.27775,498,Person23_2,1022,1795
408,1402,yellowBag,0.25609,2433,Person23_2,646,1633
409,1996,sign,0.43926000000000004,1358,Person16_8,2635,11
410,1654,cloudSign,0.26546,1479,Person16_1,552,132
411,595,eyeball,0.37740999999999997,995,Person16_1,1936,242
412,1422,metalKey,0.30332,1976,Person16_1,1170,1563
413,1371,partyFavor,0.45555,1896,Person16_1,54,1664
414,998,pinkCandle,0.26103000000000004,390,Person16_1,1949,1764
415,2410,sign,0.495,995,Person16_1,1089,615
416,1633,cloudSign,0.39773000000000003,1291,Person16_6,941,1220
417,1412,partyFavor,0.25651999999999997,1573,Person16_6,1076,706
418,1250,pinkCandle,0.37031,417,Person16_6,2514,1230
419,2178,sign,0.25861,646,Person16_6,1842,716
420,686,blueSunglasses,0.27574,1385,Person16_6,1465,1694
421,1644,birdCall,0.30012,2137,Person16_5,242,1392
422,1301,cloudSign,0.35585,1371,Person16_5,310,1734
423,2299,pumpkinNotes,0.46634,1801,Person16_5,2245,232
424,2016,sign,0.42053999999999997,1224,Person16_5,2823,1019
425,1452,birdCall,0.45919,1465,Person16_7,565,1583
426,1281,cloudSign,0.28069,968,Person16_7,2232,736
427,888,pinkCandle,0.26786,498,Person16_7,2205,101
428,1019,redWhistle,0.5102300000000001,1264,Person16_7,1224,232
429,2047,sign,0.40116,1277,Person16_7,1815,11
430,1200,birdCall,0.33116,1842,Person16_9,955,1835
431,807,cloudSign,0.43103,982,Person16_9,1089,2057
432,797,eyeball,0.3727,1156,Person16_9,1022,2087
433,1240,metalKey,0.49201999999999996,1425,Person16_9,1439,565
434,1260,partyFavor,0.31493000000000004,1748,Person16_9,995,1775
435,1129,pinkCandle,0.40656,686,Person16_9,1533,1059
436,2319,sign,0.48377,1250,Person16_9,1546,444
437,827,blueSunglasses,0.35555,1344,Person16_9,1197,1845
438,988,hairClip,0.67681,928,Person16_9,1963,494
439,1150,stickerBox,0.39057,767,Person16_9,1224,1885
440,847,eyeball,0.27399999999999997,901,Person16_10,861,1402
441,1361,metalKey,0.25933,1358,Person16_10,619,1150
442,1885,cupcakePaper,0.25314000000000003,1533,Person16_3,14,232
443,928,pinkCandle,0.26861999999999997,363,Person16_3,2258,303
444,2047,sign,0.63764,1183,Person16_3,1855,11
445,484,lavenderDie,0.27918000000000004,431,Person16_3,2500,1361
446,2359,yellowBag,0.30378,2393,Person16_3,14,11
447,1815,birdCall,0.49701000000000006,1882,Person16_4,1506,1129
448,1150,cloudSign,0.2872,861,Person16_4,2016,1240
449,525,eyeball,0.26092,1103,Person16_4,1896,1573
450,2793,sign,0.56342,1224,Person16_4,982,11
451,686,blueSunglasses,0.33248,1250,Person16_4,1815,1260
452,504,lavenderDie,0.25347,390,Person16_4,2500,1351
453,1140,metalKey,0.396,1465,Person16_2,847,1049
454,575,pinkCandle,0.49177,336,Person16_2,1694,686
455,484,lavenderDie,0.30989,484,Person16_2,202,2440
456,1926,yellowBag,0.51237,2648,Person16_2,14,1109
457,1936,cupcakePaper,0.32101,2057,Person7_7,1156,1089
458,2349,paperPlate,0.35425,3253,Person7_7,511,686
459,2188,pumpkinNotes,0.36627,1815,Person7_7,1250,525
460,1926,yellowBalloon,0.41339,1963,Person7_7,1143,1109
